,LA:1,LA:2,LA:3,LA:4,LA:5,LA:6,LA:7,LA:8,LA:9,LA:10,LA:11,LA:12
147,456.93,469.31,649.88,214.05,218.33,211.65,214.25,507.21,215.58,440.82,440.0,492.37
148,469.31,649.88,214.05,218.33,211.65,214.25,507.21,215.58,440.82,440.0,492.37,706.48
149,649.88,214.05,218.33,211.65,214.25,507.21,215.58,440.82,440.0,492.37,706.48,145.02
150,214.05,218.33,211.65,214.25,507.21,215.58,440.82,440.0,492.37,706.48,145.02,186.5
151,218.33,211.65,214.25,507.21,215.58,440.82,440.0,492.37,706.48,145.02,186.5,435.17
152,211.65,214.25,507.21,215.58,440.82,440.0,492.37,706.48,145.02,186.5,435.17,417.81
153,214.25,507.21,215.58,440.82,440.0,492.37,706.48,145.02,186.5,435.17,417.81,416.1
154,507.21,215.58,440.82,440.0,492.37,706.48,145.02,186.5,435.17,417.81,416.1,201.03
155,215.58,440.82,440.0,492.37,706.48,145.02,186.5,435.17,417.81,416.1,201.03,369.79
156,440.82,440.0,492.37,706.48,145.02,186.5,435.17,417.81,416.1,201.03,369.79,370.06
157,440.0,492.37,706.48,145.02,186.5,435.17,417.81,416.1,201.03,369.79,370.06,619.34
158,492.37,706.48,145.02,186.5,435.17,417.81,416.1,201.03,369.79,370.06,619.34,389.03
159,706.48,145.02,186.5,435.17,417.81,416.1,201.03,369.79,370.06,619.34,389.03,369.27
160,145.02,186.5,435.17,417.81,416.1,201.03,369.79,370.06,619.34,389.03,369.27,369.08
161,186.5,435.17,417.81,416.1,201.03,369.79,370.06,619.34,389.03,369.27,369.08,369.22
162,435.17,417.81,416.1,201.03,369.79,370.06,619.34,389.03,369.27,369.08,369.22,210.48
163,417.81,416.1,201.03,369.79,370.06,619.34,389.03,369.27,369.08,369.22,210.48,146.35
164,416.1,201.03,369.79,370.06,619.34,389.03,369.27,369.08,369.22,210.48,146.35,208.08
165,201.03,369.79,370.06,619.34,389.03,369.27,369.08,369.22,210.48,146.35,208.08,386.63
166,369.79,370.06,619.34,389.03,369.27,369.08,369.22,210.48,146.35,208.08,386.63,391.13
167,370.06,619.34,389.03,369.27,369.08,369.22,210.48,146.35,208.08,386.63,391.13,521.0
168,619.34,389.03,369.27,369.08,369.22,210.48,146.35,208.08,386.63,391.13,521.0,689.0
169,389.03,369.27,369.08,369.22,210.48,146.35,208.08,386.63,391.13,521.0,689.0,503.62
170,369.27,369.08,369.22,210.48,146.35,208.08,386.63,391.13,521.0,689.0,503.62,507.1
171,369.08,369.22,210.48,146.35,208.08,386.63,391.13,521.0,689.0,503.62,507.1,584.63
172,369.22,210.48,146.35,208.08,386.63,391.13,521.0,689.0,503.62,507.1,584.63,612.0
173,210.48,146.35,208.08,386.63,391.13,521.0,689.0,503.62,507.1,584.63,612.0,622.97
174,146.35,208.08,386.63,391.13,521.0,689.0,503.62,507.1,584.63,612.0,622.97,689.0
175,208.08,386.63,391.13,521.0,689.0,503.62,507.1,584.63,612.0,622.97,689.0,215.68
176,386.63,391.13,521.0,689.0,503.62,507.1,584.63,612.0,622.97,689.0,215.68,408.91
177,391.13,521.0,689.0,503.62,507.1,584.63,612.0,622.97,689.0,215.68,408.91,439.33
178,521.0,689.0,503.62,507.1,584.63,612.0,622.97,689.0,215.68,408.91,439.33,623.47
179,689.0,503.62,507.1,584.63,612.0,622.97,689.0,215.68,408.91,439.33,623.47,217.4
180,503.62,507.1,584.63,612.0,622.97,689.0,215.68,408.91,439.33,623.47,217.4,553.17
181,507.1,584.63,612.0,622.97,689.0,215.68,408.91,439.33,623.47,217.4,553.17,689.0
182,584.63,612.0,622.97,689.0,215.68,408.91,439.33,623.47,217.4,553.17,689.0,689.0
183,612.0,622.97,689.0,215.68,408.91,439.33,623.47,217.4,553.17,689.0,689.0,515.68
184,622.97,689.0,215.68,408.91,439.33,623.47,217.4,553.17,689.0,689.0,515.68,689.0
185,689.0,215.68,408.91,439.33,623.47,217.4,553.17,689.0,689.0,515.68,689.0,809.02
186,215.68,408.91,439.33,623.47,217.4,553.17,689.0,689.0,515.68,689.0,809.02,801.0
